 2000-02-23 Tsinghua Univ. EEA Dept.
lftype.h
************************
SYSBASE ... 100.00000
THLOAD  LD1  bus-3         23.7000         0.9690
THLOAD  LD2  bus-15         14.2000         0.0000
THLOAD  LD3  bus-18          0.3440         0.1167
THLOAD  LD4  bus-20          0.3790         0.1250
THLOAD  LD5  bus-22          0.1739         0.0527
THLOAD  LD6  bus-27         18.2400         0.5790
THLOAD  LD7  bus-28          0.3847         0.1317
THLOAD  LD8  bus-29          0.2831         0.0903
THLOAD  LD9  bus-30          1.0120         0.3252
THLOAD  LD10  bus-32          0.5270         0.1506
THLOAD  LD11  bus-33          0.4517         0.1506
THLOAD  LD12  bus-34          0.1418         0.0525
THLOAD  LD13  bus-35          0.5448         0.1463
THLOAD  LD14  bus-36          0.3196         0.0868
THLOAD  LD15  bus-38          0.1476         0.0408
THLOAD  LD16  bus-40          0.5288         0.1760
THLOAD  LD17  bus-41          0.3920         0.1280
THLOAD  LD18  bus-44          0.1632         0.0371
THLOAD  LD19  bus-45          0.2002         0.0541
THLOAD  LD20  bus-46          0.6531         0.2230
THLOAD  LD21  bus-47          0.0482         0.0156
THLOAD  LD22  bus-48          0.9376         0.2286
THLOAD  LD23  bus-49          0.0682         0.0178
THLOAD  LD24  bus-52          2.1820         0.4280
THLOAD  LD25  bus-54          0.9404         0.2957
THLOAD  LD26  bus-56          0.2529         0.0726
THLOAD  LD27  bus-57          0.4848         0.1561
THLOAD  LD28  bus-59          0.8443         0.2705
THLOAD  LD29  bus-67          0.2254         0.0703
THLOAD  LD30  bus-68          0.4042         0.1268
THLOAD  LD31  bus-71          0.2987         0.1193
THLOAD  LD32  bus-77          0.2641         0.0878
THLOAD  LD33  bus-78          0.7912         0.0000
THLOAD  LD34  bus-80          0.1576         0.0525
THLOAD  LD35  bus-81          0.5088         0.1680
THLOAD  LD36  bus-82          0.6228         0.2026
THLOAD  LD37  bus-84          0.3790         0.0949
THLOAD  LD38  bus-85          0.4052         0.1126
THLOAD  LD39  bus-86          0.5073         0.1335
THLOAD  LD40  bus-87          0.1691         0.0423
THLOAD  LD41  bus-88          0.6060         0.0444
THLOAD  LD42  bus-90          0.5021         0.1676
THLOAD  LD43  bus-91          0.5124         0.1283
THLOAD  LD44  bus-92          0.3612         0.0905
THLOAD  LD45  bus-93          1.0380         0.3456
THLOAD  LD46  bus-94          1.6400         0.0649
THLOAD  LD47  bus-95          1.1720         0.3901
THLOAD  LD48  bus-96          1.1920         0.0000
THLOAD  LD49  bus-97          0.2284         0.0571
THLOAD  LD50  bus-98          1.5110         0.5035
THLOAD  LD51  bus-100          0.2321         0.0690
THLOAD  LD52  bus-102          0.1654         0.0408
THLOAD  LD53  bus-104          0.3152         0.1046
THLOAD  LD54  bus-105          0.2484         0.0623
THLOAD  LD55  bus-107          0.3541         0.0541
THLOAD  LD56  bus-111          0.6541         0.1672
THLOAD  LD57  bus-115          0.1732         0.0334
THLOAD  LD58  bus-116          0.5608         0.1120
THLOAD  LD59  bus-117          1.0190         0.2006
THLOAD  LD60  bus-122          0.4728         0.0936
THLOAD  LD61  bus-124         20.0000         0.9090
THLOAD  LD62  bus-125         20.0000         0.0000
THLOAD  LD63  bus-126         20.0000         0.0000
THLOAD  LD64  bus-133          0.3010         0.0602
THLOAD  LD65  bus-134          0.1746         0.0334
THLOAD  LD66  bus-135          0.2006         0.0401
THLOAD  LD67  bus-136          0.2006         0.0401
THLOAD  LD68  bus-137          0.2006         0.0401
THLOAD  LD69  bus-139          0.1010         0.0201
THLOAD  LD70  bus-140          0.1358         0.0268
THLOAD  LD71  bus-142          0.2709         0.0535
THLOAD  LD72  bus-143          0.2107         0.0401
THLOAD  LD73  bus-144          0.1237         0.0201
THLOAD  LD74  bus-145          0.1083         0.0221
THLOAD  LD75  bus-146          0.2133         0.0401
THLOAD  LD76  bus-147          2.1640         0.4280
THLOAD  LD77  bus-148          1.2000         0.2400
THLOAD  LD78  bus-150          0.0480         0.0160
THLOAD  LD79  bus-151          0.2400         0.0800
THLOAD  LD80  bus-153          0.0400         0.0160
THLOAD  LD81  bus-154          0.2800         0.0960
THLOAD  LD82  bus-155          0.1200         0.0400
THLOAD  LD83  bus-156          0.0800         0.0240
THLOAD  LD84  bus-157          0.3200         0.1040
THLOAD  LD85  bus-158          0.1600         0.0560
THLOAD  LD86  bus-159          0.0800         0.0240
THLOAD  LD87  bus-160          0.1440         0.0480
THLOAD  LD88  bus-161          0.3200         0.1040
THLOAD  LD89  bus-162          0.2000         0.0640
THSHUNT sh_1  bus-1          0.0000         1.0000
THSHUNT sh_2  bus-5          0.0000         0.5000
THSHUNT sh_3  bus-25          0.0000         0.5000
THSHUNT sh_4  bus-26          0.0000         0.5000
THSHUNT sh_5  bus-30          0.0000        -0.1500
THSHUNT sh_6  bus-32          0.0000        -0.2000
THSHUNT sh_7  bus-33          0.0000        -0.2000
THSHUNT sh_8  bus-34          0.0000        -0.0320
THSHUNT sh_9  bus-35          0.0000        -0.0500
THSHUNT sh_10  bus-36          0.0000        -0.0300
THSHUNT sh_11  bus-38          0.0000        -0.0150
THSHUNT sh_12  bus-45          0.0000        -0.0190
THSHUNT sh_13  bus-46          0.0000        -0.2620
THSHUNT sh_14  bus-56          0.0000        -0.0320
THSHUNT sh_15  bus-66          0.0000         0.5000
THSHUNT sh_16  bus-67          0.0000        -0.0600
THSHUNT sh_17  bus-68          0.0000        -0.1200
THSHUNT sh_18  bus-71          0.0000        -0.1200
THSHUNT sh_19  bus-75          0.0000         0.5000
THSHUNT sh_20  bus-77          0.0000        -0.0470
THSHUNT sh_21  bus-80          0.0000        -0.0280
THSHUNT sh_22  bus-81          0.0000        -0.2210
THSHUNT sh_23  bus-82          0.0000        -0.1040
THSHUNT sh_24  bus-84          0.0000        -0.0260
THSHUNT sh_25  bus-85          0.0000        -0.1200
THSHUNT sh_26  bus-86          0.0000        -0.1200
THSHUNT sh_27  bus-90          0.0000        -0.1000
THSHUNT sh_28  bus-100          0.0000        -0.0300
THSHUNT sh_29  bus-104          0.0000        -0.0560
THSHUNT sh_30  bus-105          0.0000        -0.0170
THSHUNT sh_31  bus-112          0.0000         0.5000
THSHUNT sh_32  bus-154          0.0000        -0.0600
THSHUNT sh_33  bus-158          0.0000        -0.0300
THSHUNT sh_34  bus-160          0.0000        -0.0300
GENER   GEN-1 bus-3 2000.00000    0.00000  1 
GENERCV GEN-2 bus-6        794.0000       180.8100  1.00000 1
GENER   GEN-3 bus-8 -398.00000  -19.20000  1 
GENER   GEN-4 bus-10 -226.00000   11.50000  1 
GENER   GEN-5 bus-12 -193.00000    5.90000  1 
GENER   GEN-6 bus-13 -204.00000  -37.30000  1 
GENER   GEN-7 bus-14 -381.00000  -56.30000  1 
GENER   GEN-8 bus-15 1500.00000    5.90000  1 
GENER   GEN-9 bus-16   54.20000  -26.70000  1 
GENER   GEN-10 bus-17  116.50000  -44.70000  1 
GENER   GEN-11 bus-19  -64.40000   -3.78000  1 
GENER   GEN-12 bus-21   69.80000  -23.20000  1 
GENER   GEN-13 bus-23  -63.50000  -21.40000  1 
GENER   GEN-14 bus-27 1500.00000    0.00000  1 
GENER   GEN-15 bus-31  -72.50000    3.10000  1 
GENER   GEN-16 bus-33    0.00000   -0.10000  1 
GENER   GEN-17 bus-43  -41.50000   17.20000  1 
GENER   GEN-18 bus-48   60.00000   29.97000  1 
GENER   GEN-19 bus-50  -99.70000   23.40000  1 
GENER   GEN-20 bus-54   23.70000    9.00000  1 
GENER   GEN-21 bus-57    0.00000   20.00000  1 
GENER   GEN-22 bus-60 -244.00000  -26.00000  1 
GENER   GEN-23 bus-62  865.60000   70.80000  1 
GENER   GEN-24 bus-63  -59.10000    2.90000  1 
GENER   GEN-25 bus-65   26.30000 -116.00000  1 
GENER   GEN-26 bus-72 -427.00000 -110.00000  1 
GENERCV GEN-27 bus-73        447.0000        85.8400  1.00000 1
GENERCV GEN-28 bus-76       1055.0000       136.3100  1.00000 1
GENER   GEN-29 bus-77    0.00000   -0.10000  1 
GENER   GEN-30 bus-85    0.00000   -0.10000  1 
GENER   GEN-31 bus-98    0.00000   30.00000  1 
GENERCV GEN-32 bus-99        130.9000         5.2100  1.00000 1
