HEADER      8/ 4/ 0 3.2     

B 
9 1 0 0 1 1  0 .0050000                    0            0       1
 
8
 
 
AA 01
 
101BUS-   1                   .0000000 .0000000 90.00000 49.00000 .0000000 .0000000 100.0000    0  1.02773    5.926
101BUS-   2                   .0000000 .0000000 56.00000 15.00000 .0000000 .0000000 100.0000    0  1.03465    7.716
101BUS-   3                   .0000000 .0000000 20.00000 .0000000 .0000000 .0000000 100.0000    0  0.99644    6.616
101BUS-   4                   .0000000 .0000000 .0000000 .0000000 .0000000 .0000000 100.0000    0  1.03015    4.683
101BUS-   5                   .0000000 .0000000 353.0000 130.0000 .0000000 .0000000 100.0000    0  1.01842    4.659
101BUS-   6                   .0000000 .0000000 120.0000 41.00000 .0000000 .0000000 100.0000    0  1.03051    6.966
101BUS-   7                   .0000000 .0000000 .0000000 .0000000 .0000000 .0000000 100.0000    0  0.99275    6.164
101BUS-   8                   -5.00000 10.00000 58.00000 14.00000 .0000000 .0000000 100.0000    0  1.01465    2.370
101BUS-   9                   .0000000 .0000000 96.00000 43.00000 .0000000 .0000000 100.0000    0  1.00275    2.826
101BUS-  10                   -5.00000 20.00000 148.0000 33.00000 .0000000 .0000000 100.0000    0  1.02000    1.318
101BUS-  11                   .0000000 .0000000 83.00000 21.00000 .0000000 .0000000 100.0000    0  1.00509    2.436
101BUS-  12                   .0000000 .0000000 .0000000 .0000000 .0000000 .0000000 100.0000    0  0.99675    5.189
101BUS-  13                   .0000000 .0000000 58.00000 10.00000 .0000000 .0000000 100.0000    0  0.99707   -0.584
101BUS-  14                   .0000000 .0000000 160.0000 60.00000 .0000000 .0000000 100.0000    0  0.99850   -4.850
101BUS-  15                   .0000000 .0000000 126.7000 23.00000 .0000000 .0000000 100.0000    0  1.03375   -8.624
101BUS-  16                   .0000000 .0000000 .0000000 .0000000 .0000000 .0000000 100.0000    0  1.03099   -2.681
101BUS-  17                   .0000000 .0000000 561.0000 220.0000 .0000000 .0000000 100.0000    0  1.06416  -13.146
101BUS-  19                   .0000000 .0000000 .0000000 .0000000 .0000000 .0000000 100.0000    0  0.98142    1.051
101BUS-  20                   -10.0000 20.00000 595.0000 120.0000 .0000000 .0000000 100.0000    0  1.00037   -2.495
