HEADER     22/ 3/ 0 3.2     

B 
9 1 0 0 1 1  0 .0050000                    0            0       1
 
8
 
 
AA 01
 
101BUS-   1                   .0000000 .0000000 .0000000 .0000000 .0000000 -100.000 100.0000    0  1.03259  -25.317
101BUS-   2                   .0000000 .0000000 .0000000 .0000000 .0000000 .0000000 100.0000    0  1.02242  -29.982
101BUS-   3                   2000.000 .0000000 2370.000 96.90000 .0000000 .0000000 100.0000    0  0.99989  -32.480
101BUS-   4                   .0000000 .0000000 .0000000 .0000000 .0000000 .0000000 100.0000    0  1.01901  -33.734
101BUS-   5                   .0000000 .0000000 .0000000 .0000000 .0000000 -50.0000 100.0000    0  1.03391  -24.496
101BUS-   6                   794.0000 180.8711 .0000000 .0000000 .0000000 .0000000 100.0000    0  1.00000  -19.142
101BUS-   7                   .0000000 .0000000 .0000000 .0000000 .0000000 .0000000 100.0000    0  1.01869  -30.372
101BUS-   8                   -398.000 -19.2000 .0000000 .0000000 .0000000 .0000000 100.0000    0  1.03438  -33.806
101BUS-   9                   .0000000 .0000000 .0000000 .0000000 .0000000 .0000000 100.0000    0  1.02628  -27.747
101BUS-  10                   -226.000 11.50000 .0000000 .0000000 .0000000 .0000000 100.0000    0  0.99281  -35.676
101BUS-  11                   .0000000 .0000000 .0000000 .0000000 .0000000 .0000000 100.0000    0  0.99959  -31.824
101BUS-  12                   -193.000 5.900000 .0000000 .0000000 .0000000 .0000000 100.0000    0  1.03790  -33.646
101BUS-  13                   -204.000 -37.3000 .0000000 .0000000 .0000000 .0000000 100.0000    0  1.01467  -30.660
101BUS-  14                   -381.000 -56.3000 .0000000 .0000000 .0000000 .0000000 100.0000    0  1.02804  -31.021
101BUS-  15                   1500.000 5.900000 1420.000 .0000000 .0000000 .0000000 100.0000    0  1.01852  -24.508
101BUS-  16                   54.20000 -26.7000 .0000000 .0000000 .0000000 .0000000 100.0000    0  1.01410  -29.568
101BUS-  17                   116.5000 -44.7000 .0000000 .0000000 .0000000 .0000000 100.0000    0  1.00591  -28.792
101BUS-  18                   .0000000 .0000000 34.40000 11.67000 .0000000 .0000000 100.0000    0  1.03529  -33.744
101BUS-  19                   -64.4000 -3.78000 .0000000 .0000000 .0000000 .0000000 100.0000    0  0.99926  -38.045
101BUS-  20                   .0000000 .0000000 37.90000 12.50000 .0000000 .0000000 100.0000    0  0.97937  -32.677
101BUS-  21                   69.80000 -23.2000 .0000000 .0000000 .0000000 .0000000 100.0000    0  1.00802  -30.413
101BUS-  22                   .0000000 .0000000 17.39000 5.270000 .0000000 .0000000 100.0000    0  1.03363  -37.624
