DATA FROM IEEE
lftype.h
**********
SYSBASE ...  100.
THLOAD  LD1  bus-1          0.9000         0.4900
THLOAD  LD2  bus-2          0.5600         0.1500
THLOAD  LD3  bus-3          0.2000         0.0000
THLOAD  LD5  bus-5          3.5300         1.3000
THLOAD  LD6  bus-6          1.2000         0.4100
THLOAD  LD8  bus-8          0.5800         0.1400
THLOAD  LD9  bus-9          0.9600         0.4300
THLOAD  LD10  bus-10          1.4800         0.3300
THLOAD  LD11  bus-11          0.8300         0.2100
THLOAD  LD13  bus-13          0.5800         0.1000
THLOAD  LD14  bus-14          1.6000         0.6000
THLOAD  LD15  bus-15          1.2670         0.2300
THLOAD  LD17  bus-17          5.6100         2.2000
THLOAD  LD20  bus-20          5.9500         1.2000
THLOAD  LD21  bus-21          0.7700         0.0100
THLOAD  LD22  bus-22          0.8100         0.2300
THLOAD  LD23  bus-23          0.2100         0.0700
THLOAD  LD25  bus-25          0.4500         0.1200
THLOAD  LD26  bus-26          0.2800         0.0900
THLOAD  LD27  bus-27          0.6900         0.1300
THLOAD  LD33  bus-33          0.5500         0.0600
THLOAD  LD37  bus-37          0.8500         0.3200
THLOAD  LD38  bus-38          1.5500         0.1800
THLOAD  LD40  bus-40          0.4600        -0.2100
THLOAD  LD41  bus-41          0.8600         0.0000
THLOAD  LD43  bus-43          0.3900         0.0900
THLOAD  LD44  bus-44          1.9500         0.2900
THLOAD  LD47  bus-47          0.5800         0.1180
THLOAD  LD48  bus-48          0.4100         0.1900
THLOAD  LD49  bus-49          0.9200         0.2600
THLOAD  LD51  bus-51         -0.0500         0.0500
THLOAD  LD52  bus-52          0.6100         0.2800
THLOAD  LD53  bus-53          0.6900         0.0300
THLOAD  LD54  bus-54          0.1000         0.0100
THLOAD  LD55  bus-55          0.2200         0.1000
THLOAD  LD57  bus-57          0.9800         0.2000
THLOAD  LD58  bus-58          0.1400         0.0100
THLOAD  LD59  bus-59          2.1800         1.0600
THLOAD  LD61  bus-61          2.2700         1.1000
THLOAD  LD63  bus-63          0.7000         0.3000
THLOAD  LD70  bus-70          0.5600         0.2000
THLOAD  LD71  bus-71          1.1600         0.3800
THLOAD  LD72  bus-72          0.5700         0.1900
THLOAD  LD73  bus-73          2.2400         0.7100
THLOAD  LD76  bus-76          2.0800         1.0700
THLOAD  LD77  bus-77          0.7400         0.2800
THLOAD  LD79  bus-79          0.4800         0.1400
THLOAD  LD80  bus-80          0.2800         0.0700
THLOAD  LD84  bus-84          0.3700         0.1300
THLOAD  LD89  bus-89          0.4420         0.0000
THLOAD  LD90  bus-90          0.6600         0.0000
THLOAD  LD91  bus-91          0.1740         0.0000
THLOAD  LD92  bus-92          0.1580         0.0000
THLOAD  LD94  bus-94          0.6030         0.0000
THLOAD  LD97  bus-97          0.3990         0.0000
THLOAD  LD98  bus-98          0.6670         0.0000
THLOAD  LD99  bus-99          0.8350         0.0000
THLOAD  LD102  bus-102          0.7780         0.0000
THLOAD  LD103  bus-103          0.3200         0.0000
THLOAD  LD104  bus-104          0.0860         0.0000
THLOAD  LD105  bus-105          0.4960         0.0000
THLOAD  LD107  bus-107          0.0460         0.0000
THLOAD  LD108  bus-108          1.1210         0.0000
THLOAD  LD109  bus-109          0.3070         0.0000
THLOAD  LD110  bus-110          0.6300         0.0000
THLOAD  LD112  bus-112          0.1960         0.0000
THLOAD  LD113  bus-113          0.2620         0.0000
THLOAD  LD114  bus-114          0.1820         0.0000
THLOAD  LD118  bus-118          0.1410         6.5000
THLOAD  LD120  bus-120          7.7700         2.1500
THLOAD  LD121  bus-121          5.3500         0.5500
THLOAD  LD122  bus-122          2.2910         0.1180
THLOAD  LD123  bus-123          0.7800         0.0140
THLOAD  LD124  bus-124          2.7640         0.5930
THLOAD  LD125  bus-125          5.1480         0.8270
THLOAD  LD126  bus-126          0.5790         0.0510
THLOAD  LD127  bus-127          3.8080         0.3700
THLOAD  LD135  bus-135          1.6920         0.4160
THLOAD  LD136  bus-136          0.5520         0.1820
THLOAD  LD137  bus-137          2.7360         0.9980
THLOAD  LD138  bus-138          8.2670         1.3520
THLOAD  LD139  bus-139          5.9500         0.8330
THLOAD  LD140  bus-140          3.8770         1.1470
THLOAD  LD141  bus-141          1.4500         0.5800
THLOAD  LD142  bus-142          0.5650         0.2450
THLOAD  LD143  bus-143          0.8950         0.3550
THLOAD  LD145  bus-145          0.2400         0.1400
THLOAD  LD148  bus-148          0.6300         0.2500
THLOAD  LD152  bus-152          0.1700         0.0900
THLOAD  LD154  bus-154          0.7000         0.0500
THLOAD  LD155  bus-155          2.0000         0.5000
THLOAD  LD156  bus-156          0.7500         0.5000
THLOAD  LD157  bus-157          1.2350        -0.2430
THLOAD  LD159  bus-159          0.3300         0.1650
THLOAD  LD161  bus-161          0.3500         0.1500
THLOAD  LD162  bus-162          0.8500         0.2400
THLOAD  LD163  bus-163          0.0000         0.0040
THLOAD  LD167  bus-167          2.9990         0.9570
THLOAD  LD170  bus-170          4.8180         2.0500
THLOAD  LD171  bus-171          7.6360         2.9110
THLOAD  LD172  bus-172          0.2650         0.0000
THLOAD  LD173  bus-173          1.6350         0.4300
THLOAD  LD175  bus-175          1.7600         0.8300
