HEADER      7/ 4/ 0 3.2     

B 
9 1 0 0 1 1  0 .0050000                    0            0       1
 
8
 
 
AA 01
 
101BUS-   1                   3557.085 623.8296 .0000000 .0000000 .0000000 .0000000 100.0000    0  0.98000    0.000
101BUS-   2                   .0000000 .0000000 .0000000 .0000000 .0000000 .0000000 100.0000    0  1.09593   -3.924
101BUS-   3                   1500.000 17.87116 .0000000 .0000000 .0000000 .0000000 100.0000    0  0.96400   -6.960
101BUS-   4                   .0000000 .0000000 .0000000 .0000000 .0000000 .0000000 100.0000    0  1.08999  -10.765
101BUS-   5                   .0000000 .0000000 .0000000 .0000000 .0000000 868.0000 100.0000    0  1.07946  -25.013
101BUS-   6                   1094.000 1.015720 .0000000 .0000000 .0000000 .0000000 100.0000    0  0.97200  -21.225
101BUS-   7                   .0000000 .0000000 3000.000 1800.000 .0000000 1500.000 100.0000    0  0.99898  -30.274
101BUS-   8                   .0000000 .0000000 .0000000 .0000000 .0000000 300.0000 100.0000    0  1.01217  -30.264
101BUS-   9                   .0000000 .0000000 .0000000 .0000000 .0000000 .0000000 100.0000    0  0.97742  -35.491
101BUS-  10                   .0000000 .0000000 3000.000 .0000000 .0000000 .0000000 100.0000    0  1.00229  -37.116
 
5  BUS-   1                            .0000000 98.00000 3
5  BUS-   3          -200.000 725.0000 .0000000 96.40000 1
5  BUS-   6          -200.000 700.0000 .0000000 97.20000 1
 
30BUS-   2 BUS-   41 .0000000 .0040000 .0000000 .0000000 100.0000  0
30BUS-   4 BUS-   51 .0015000 .0288000 .0000000 1.173000 100.0000  0
30BUS-   4 BUS-   52 .0015000 .0288000 .0000000 1.173000 100.0000  0
30BUS-   4 BUS-   53 .0015000 .0288000 .0000000 1.173000 100.0000  0
30BUS-   4 BUS-   54 .0015000 .0288000 .0000000 1.173000 100.0000  0
30BUS-   4 BUS-   55 .0015000 .0288000 .0000000 1.173000 100.0000  0
30BUS-   8 BUS-   91 .0009090 .0030300 .0000000 .0000000 100.0000  0
 
41BUS-   2 BUS-   11 .0000000 .0018300 .0000000 .0000000 100.0000 .8856612  0
41BUS-   4 BUS-   31 .0000000 .0041170 .0000000 .0000000 100.0000 .8856612  0
41BUS-   5 BUS-   61 .0000000 .0057180 .0000000 .0000000 100.0000 .9023643  0
41BUS-   5 BUS-   7  .0000000 .0030920 .0000000 .0000000 100.0000 .9380863  0
41BUS-   5 BUS-   8  .0000000 .0030570 .0000000 .0000000 100.0000 .9433963  0
41BUS-   9 BUS-  10  .0000000 .0009500 .0000000 .0000000 100.0000 1.025851  0
 
 
 
 
 
 
 
 
 
