**** Solved  case ****
RES_V  BUS-1             0.970627    1.699111  1
RES_V  BUS-13            1.000000    0.000000  1
RES_V  BUS-2             0.983922    2.789756  1
RES_V  BUS-3             0.950710    2.883051  1
RES_V  BUS-4             1.000000    2.988990  1
RES_V  BUS-5             1.037000   10.174583  1
RES_V  BUS-6             1.063258    9.422539  1
RES_V  BUS-7             1.100000    8.602385  1
RES_V  BUS-8             0.943000   14.828333  1
RES_V  BUS-9             1.100000    8.814752  1
RES_V  BUS-10            1.017707   12.584979  1
RES_V  BUS-11            1.067173    8.570066  1
RES_V  BUS-12            1.044241    5.704227  1
RES_MAC  MBUS-13         BUS-13            830.16082 -310.59348   1
RES_MAC  MBUS-4          BUS-4               0.00000 -399.51031   1
RES_MAC  MBUS-5          BUS-5             500.00000 -232.96240   1
RES_MAC  MBUS-8          BUS-8             500.00000 -1006.32477   1
RES_MAC  MBUS-7          BUS-7               0.00000  -33.22395   1
RES_MAC  MBUS-9          BUS-9               0.00000  -86.01970   1
