 00/00/01                      100.0  0    0 0                                                                                                                                                                                                                                                             
BUS DATA FOLLOWS                  162 ITEMS
   1 bus-1   100   1  1    1.032 -25.32 0.       0.        0.      0.       100.    1.       0.     0.      0.     -1.        0                                                                                                                                                                            
   2 bus-2   100   1  1    1.022 -29.99 0.       0.        0.      0.       100.    1.       0.     0.      0.      0.        0                                                                                                                                                                            
   3 bus-3   100   1  1    0.999 -32.48 2370.    96.9      2000.   0.       100.    1.     999900 -99990    0.      0.        0                                                                                                                                                                            
   4 bus-4   100   1  1    1.019 -33.74 0.       0.        0.      0.       100.    1.       0.     0.      0.      0.        0                                                                                                                                                                            
   5 bus-5   100   1  1    1.033 -24.5  0.       0.        0.      0.       100.    1.       0.     0.      0.     -0.5       0                                                                                                                                                                            
   6 bus-6   100   1  1  2 1.    -19.15 0.       0.        794.    180.8709 100.    1.     400.   -200.     0.      0.        0                                                                                                                                                                            
   7 bus-7   100   1  1    1.018 -30.38 0.       0.        0.      0.       100.    1.       0.     0.      0.      0.        0                                                                                                                                                                            
   8 bus-8   100   1  1    1.034 -33.81 0.       0.        -398.   -19.2    100.    1.     999900 -99990    0.      0.        0                                                                                                                                                                            
   9 bus-9   100   1  1    1.026 -27.75 0.       0.        0.      0.       100.    1.       0.     0.      0.      0.        0                                                                                                                                                                            
  10 bus-10  100   1  1    0.992 -35.68 0.       0.        -226.   11.5     100.    1.     999900 -99990    0.      0.        0                                                                                                                                                                            
  11 bus-11  100   1  1    0.999 -31.83 0.       0.        0.      0.       100.    1.       0.     0.      0.      0.        0                                                                                                                                                                            
  12 bus-12  100   1  1    1.037 -33.65 0.       0.        -193.   5.9      100.    1.     999900 -99990    0.      0.        0                                                                                                                                                                            
  13 bus-13  100   1  1    1.014 -30.66 0.       0.        -204.   -37.3    100.    1.     999900 -99990    0.      0.        0                                                                                                                                                                            
  14 bus-14  100   1  1    1.028 -31.03 0.       0.        -381.   -56.3    100.    1.     999900 -99990    0.      0.        0                                                                                                                                                                            
  15 bus-15  100   1  1    1.018 -24.51 1420.    0.        1500.   5.9      100.    1.     999900 -99990    0.      0.        0                                                                                                                                                                            
  16 bus-16  100   1  1    1.014 -29.57 0.       0.        54.2    -26.7    100.    1.     999900 -99990    0.      0.        0                                                                                                                                                                            
  17 bus-17  100   1  1    1.005 -28.8  0.       0.        116.5   -44.7    100.    1.     999900 -99990    0.      0.        0                                                                                                                                                                            
  18 bus-18  100   1  1    1.035 -33.75 34.4     11.67     0.      0.       100.    1.       0.     0.      0.      0.        0                                                                                                                                                                            
  19 bus-19  100   1  1    0.999 -38.05 0.       0.        -64.4   -3.78    100.    1.     999900 -99990    0.      0.        0                                                                                                                                                                            
  20 bus-20  100   1  1    0.979 -32.68 37.9     12.5      0.      0.       100.    1.       0.     0.      0.      0.        0                                                                                                                                                                            
  21 bus-21  100   1  1    1.008 -30.42 0.       0.        69.8    -23.2    100.    1.     999900 -99990    0.      0.        0                                                                                                                                                                            
  22 bus-22  100   1  1    1.033 -37.63 17.39    5.27      0.      0.       100.    1.       0.     0.      0.      0.        0                                                                                                                                                                            
  23 bus-23  100   1  1    0.988 -34.85 0.       0.        -63.5   -21.4    100.    1.     999900 -99990    0.      0.        0                                                                                                                                                                            
  24 bus-24  100   1  1    1.009 -33.32 0.       0.        0.      0.       100.    1.       0.     0.      0.      0.        0                                                                                                                                                                            
  25 bus-25  100   1  1    1.001 -29.37 0.       0.        0.      0.       100.    1.       0.     0.      0.     -0.5       0                                                                                                                                                                            
  26 bus-26  100   1  1    1.032 -21.48 0.       0.        0.      0.       100.    1.       0.     0.      0.     -0.5       0                                                                                                                                                                            
  27 bus-27  100   1  1    0.997 -30.39 1824.    57.9      1500.   0.       100.    1.     999900 -99990    0.      0.        0                                                                                                                                                                            
  28 bus-28  100   1  1    0.988 -36.13 38.47    13.17     0.      0.       100.    1.       0.     0.      0.      0.        0                                                                                                                                                                            
  29 bus-29  100   1  1    0.987 -37.93 28.31    9.03      0.      0.       100.    1.       0.     0.      0.      0.        0                                                                                                                                                                            
  30 bus-30  100   1  1    0.997 -39.8  101.2    32.52     0.      0.       100.    1.       0.     0.      0.      0.15      0                                                                                                                                                                            
  31 bus-31  100   1  1    0.99  -37.07 0.       0.        -72.5   3.1      100.    1.     999900 -99990    0.      0.        0                                                                                                                                                                            
  32 bus-32  100   1  1    1.004 -41.08 52.7     15.06     0.      0.       100.    1.       0.     0.      0.      0.2       0                                                                                                                                                                            
  33 bus-33  100   1  1    0.998 -43.01 45.17    15.06     0.      -0.1     100.    1.     999900 -99990    0.      0.2       0                                                                                                                                                                            
  34 bus-34  100   1  1    0.998 -42.99 14.18    5.25      0.      0.       100.    1.       0.     0.      0.      0.0304    0                                                                                                                                                                            
  35 bus-35  100   1  1    0.989 -44.44 54.48    14.63     0.      0.       100.    1.       0.     0.      0.      0.05      0                                                                                                                                                                            
  36 bus-36  100   1  1    0.995 -43.16 31.96    8.68      0.      0.       100.    1.       0.     0.      0.      0.03      0                                                                                                                                                                            
  37 bus-37  100   1  1    0.986 -30.57 0.       0.        0.      0.       100.    1.       0.     0.      0.      0.        0                                                                                                                                                                            
  38 bus-38  100   1  1    1.018 -38.14 14.76    4.08      0.      0.       100.    1.       0.     0.      0.      0.015     0                                                                                                                                                                            
  39 bus-39  100   1  1    0.987 -33.21 0.       0.        0.      0.       100.    1.       0.     0.      0.      0.        0                                                                                                                                                                            
  40 bus-40  100   1  1    0.999 -42.06 52.88    17.6      0.      0.       100.    1.       0.     0.      0.      0.        0                                                                                                                                                                            
  41 bus-41  100   1  1    1.007 -40.21 39.2     12.8      0.      0.       100.    1.       0.     0.      0.      0.        0                                                                                                                                                                            
  42 bus-42  100   1  1    1.003 -33.02 0.       0.        0.      0.       100.    1.       0.     0.      0.      0.        0                                                                                                                                                                            
  43 bus-43  100   1  1    1.011 -35.64 0.       0.        -41.5   17.2     100.    1.     999900 -99990    0.      0.        0                                                                                                                                                                            
  44 bus-44  100   1  1    1.007 -36.16 16.32    3.71      0.      0.       100.    1.       0.     0.      0.     -0.0013    0                                                                                                                                                                            
  45 bus-45  100   1  1    0.995 -36.21 20.02    5.41      0.      0.       100.    1.       0.     0.      0.      0.019     0                                                                                                                                                                            
  46 bus-46  100   1  1    0.998 -38.96 65.31    22.3      0.      0.       100.    1.       0.     0.      0.      0.262     0                                                                                                                                                                            
  47 bus-47  100   1  1    0.99  -41.68 4.82     1.56      0.      0.       100.    1.       0.     0.      0.      0.        0                                                                                                                                                                            
  48 bus-48  100   1  1    0.999 -40.59 93.76    22.86     60.     29.97    100.    1.     999900 -99990    0.      0.        0                                                                                                                                                                            
  49 bus-49  100   1  1    0.988 -41.99 6.82     1.78      0.      0.       100.    1.       0.     0.      0.      0.        0                                                                                                                                                                            
  50 bus-50  100   1  1    0.996 -39.5  0.       0.        -99.7   23.4     100.    1.     999900 -99990    0.      0.        0                                                                                                                                                                            
  51 bus-51  100   1  1    0.991 -38.23 0.       0.        0.      0.       100.    1.       0.     0.      0.      0.        0                                                                                                                                                                            
  52 bus-52  100   1  1    1.014 -39.33 218.2    42.8      0.      0.       100.    1.       0.     0.      0.      0.        0                                                                                                                                                                            
  53 bus-53  100   1  1    0.995 -30.68 0.       0.        0.      0.       100.    1.       0.     0.      0.      0.        0                                                                                                                                                                            
  54 bus-54  100   1  1    0.988 -37.87 94.04    29.57     23.7    9.       100.    1.     999900 -99990    0.      0.        0                                                                                                                                                                            
  55 bus-55  100   1  1    0.996 -30.38 0.       0.        0.      0.       100.    1.       0.     0.      0.      0.        0                                                                                                                                                                            
  56 bus-56  100   1  1    0.991 -40.5  25.29    7.26      0.      0.       100.    1.       0.     0.      0.      0.032     0                                                                                                                                                                            
  57 bus-57  100   1  1    0.997 -37.54 48.48    15.61     0.      20.      100.    1.     999900 -99990    0.      0.        0                                                                                                                                                                            
  58 bus-58  100   1  1    1.008 -28.68 0.       0.        0.      0.       100.    1.       0.     0.      0.      0.        0                                                                                                                                                                            
  59 bus-59  100   1  1    0.984 -33.03 84.43    27.05     0.      0.       100.    1.       0.     0.      0.      0.        0                                                                                                                                                                            
  60 bus-60  100   1  1    0.992 -34.01 0.       0.        -244.   -26.     100.    1.     999900 -99990    0.     -0.0011    0                                                                                                                                                                            
  61 bus-61  100   1  1    0.983 -31.43 0.       0.        0.      0.       100.    1.       0.     0.      0.     -0.0011    0                                                                                                                                                                            
  62 bus-62  100   1  1    1.023 -18.47 0.       0.        865.6   70.8     100.    1.     999900 -99990    0.      0.        0                                                                                                                                                                            
  63 bus-63  100   1  1    0.988 -29.76 0.       0.        -59.1   2.9      100.    1.     999900 -99990    0.      0.        0                                                                                                                                                                            
  64 bus-64  100   1  1    1.015 -28.89 0.       0.        0.      0.       100.    1.       0.     0.      0.      0.        0                                                                                                                                                                            
  65 bus-65  100   1  1    0.996 -25.32 0.       0.        26.3    -116.    100.    1.     999900 -99990    0.      0.        0                                                                                                                                                                            
  66 bus-66  100   1  1    1.    -31.11 0.       0.        0.      0.       100.    1.       0.     0.      0.     -0.5       0                                                                                                                                                                            
  67 bus-67  100   1  1    0.999 -41.74 22.54    7.03      0.      0.       100.    1.       0.     0.      0.      0.06      0                                                                                                                                                                            
  68 bus-68  100   1  1    1.013 -40.23 40.42    12.68     0.      0.       100.    1.       0.     0.      0.      0.12      0                                                                                                                                                                            
  69 bus-69  100   1  1    1.02  -38.92 0.       0.        0.      0.       100.    1.       0.     0.      0.      0.        0                                                                                                                                                                            
  70 bus-70  100   1  1    1.026 -23.58 0.       0.        0.      0.       100.    1.       0.     0.      0.      0.        0                                                                                                                                                                            
  71 bus-71  100   1  1    0.992 -31.77 29.87    11.93     0.      0.       100.    1.       0.     0.      0.      0.12      0                                                                                                                                                                            
  72 bus-72  100   1  1    1.016 -30.78 0.       0.        -427.   -110.    100.    1.     999900 -99990    0.      0.        0                                                                                                                                                                            
  73 bus-73  100   1  1  2 1.    -18.46 0.       0.        447.    85.9411  100.    1.     267.   -72.      0.      0.        0                                                                                                                                                                            
  74 bus-74  100   1  1    1.011 -33.56 0.       0.        0.      0.       100.    1.       0.     0.      0.      0.        0                                                                                                                                                                            
  75 bus-75  100   1  1    1.03  -25.43 0.       0.        0.      0.       100.    1.       0.     0.      0.     -0.5       0                                                                                                                                                                            
  76 bus-76  100   1  1  2 1.    -16.48 0.       0.        1055.   136.183  100.    1.     605.   -170.     0.      0.        0                                                                                                                                                                            
